beetle,r1,r2,r3,r4,sequence
1,215,215,230,175,eccb
2,175,190,180,135,fddb
3,315,280,280,260,bcce
4,235,225,230,180,bddf
5,130,155,120,125,eccb
6,95,80,55,5,fddb
7,50,0,30,320,bcce
8,75,30,55,345,bddf
9,155,125,115,75,eccb
10,50,55,60,30,fddb
11,275,240,240,200,bcce
12,135,100,90,50,bddf
13,310,320,235,325,eccb
14,90,120,120,75,fddb
15,300,295,290,260,bcce
16,280,270,260,270,bddf
17,180,220,195,195,eccb
18,45,35,25,40,fddb
19,110,75,100,15,bcce
20,260,265,260,215,bddf
21,55,55,20,50,eccb
22,185,155,150,145,fddb
23,330,280,280,280,bcce
24,350,200,180,175,bddf
25,265,275,265,240,eccb
26,300,295,290,270,fddb
27,250,240,235,200,bcce
28,30,10,0,330,bddf
29,210,180,180,130,eccb
30,5,350,0,335,fddb
31,195,210,235,165,bcce
32,290,270,285,200,bddf
33,275,270,275,225,eccb
34,225,260,240,235,fddb
35,355,300,300,295,bcce
36,145,125,90,80,bddf
37,150,115,135,135,eccb
38,40,60,80,60,fddb
39,70,70,75,50,bcce
40,330,330,355,350,bddf
